create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-05-09 00:05:00,LINKUSDT,3639023.93,50686341.64380937,3.31981383,1.686201,3.14192971,0.967411
2024-05-09 00:10:00,LINKUSDT,3640839.28,50696726.67331486,3.31683826,1.68412,3.11792139,0.801807
2024-05-09 00:15:00,LINKUSDT,3645295.37,50841555.82953286,3.31254147,1.686785,3.1181697,1.030741
2024-05-09 00:20:00,LINKUSDT,3647364.72,50878248.043421194,3.31034483,1.68699,3.10132743,1.082101
2024-05-09 00:25:00,LINKUSDT,3647708.41,50943895.65406,3.30552797,1.687428,3.09723757,2.252483
2024-05-09 00:30:00,LINKUSDT,3649026.95,51104279.243765354,3.30473667,1.684329,3.1037234,1.530243
2024-05-09 00:35:00,LINKUSDT,3647723.61,51231968.84844235,3.31397278,1.685417,3.11419685,0.708523
2024-05-09 00:40:00,LINKUSDT,3646550.32,51245232.885824926,3.29732408,1.689132,3.10208149,0.708511
2024-05-09 00:45:00,LINKUSDT,3646452.89,51203491.48138,3.30552797,1.68925,3.1043883,0.687025
2024-05-09 00:50:00,LINKUSDT,3652609.68,51291587.15724164,3.29735974,1.687266,3.10520487,0.959308
2024-05-09 00:55:00,LINKUSDT,3650499.07,51297330.2803682,3.30347107,1.687745,3.10066372,0.966306
2024-05-09 01:00:00,LINKUSDT,3650465.79,51296345.28108,3.30456349,1.688591,3.10680257,0.786924
2024-05-09 01:05:00,LINKUSDT,3654969.38,51378223.178340845,3.28373474,1.685892,3.08552486,1.410357
2024-05-09 01:10:00,LINKUSDT,3650488.73,51288295.67611639,3.28741328,1.684558,3.1,0.835489
2024-05-09 01:15:00,LINKUSDT,3648707.62,51301384.47049976,3.28727273,1.686205,3.09278122,0.775005
2024-05-09 01:20:00,LINKUSDT,3649029.43,51197308.14081477,3.29612454,1.685094,3.09258029,0.557512
2024-05-09 01:25:00,LINKUSDT,3659400.53,51293817.22901,3.32122626,1.690091,3.1206512,0.799879
2024-05-09 01:30:00,LINKUSDT,3660359.58,51318241.3116,3.32089304,1.691591,3.11948284,0.514094
2024-05-09 01:35:00,LINKUSDT,3676229.38,51738284.931120954,3.30184941,1.690881,3.12247615,2.594581
2024-05-09 01:40:00,LINKUSDT,3673030.36,51580365.34548,3.29933993,1.692869,3.11470328,0.474783
2024-05-09 01:45:00,LINKUSDT,3674168.49,51577977.26262,3.29466051,1.691492,3.11079169,0.721502
2024-05-09 01:50:00,LINKUSDT,3674893.37,51617552.27502,3.29456343,1.692216,3.10483337,0.715243
2024-05-09 01:55:00,LINKUSDT,3674632.78,51650771.41413296,3.29390445,1.695341,3.09190853,1.15977
2024-05-09 02:00:01,LINKUSDT,3675114.98,51657416.15888,3.30416116,1.693963,3.11086572,0.386074
2024-05-09 02:05:00,LINKUSDT,3676310.94,51670550.2617,3.30122476,1.691505,3.09984537,0.99111
2024-05-09 02:10:00,LINKUSDT,3675168.14,51599188.099704154,3.29748511,1.693332,3.09446038,0.400456
