timestamp,sum_open_interest,sum_open_interest_value
1690232100000,112084.682,3265250956.024
1690232400000,112094.124,3266225754.314271
1690232700000,111980.293,3262411460.2034
1690233000000,111983.954,3262911378.592634
1690233300000,112103.404,3264630489.9264
1690233600000,112039.651,3264313048.5499744
1690233900000,111891.824,3262231222.4084496
1690234200000,111834.164,3260076848.766086
1690234500000,111782.434,3257836483.9652815
1690234800000,111621.346,3256013062.7751226
1690235100000,111582.206,3253737126.96
1690235400000,111560.333,3250723075.1871
1690235700000,111606.352,3253860871.2896
1690236000000,111600.215,3254117634.149793
1690236300000,111650.19,3256746851.997171
1690236600000,111689.863,3257568882.2306
1690236900000,111724.553,3259762052.981006
1690237200000,111747.592,3257866947.6496
1690237500000,111766.08,3258372413.28
1690237800000,111700.345,3255834446.8873405
1690238100000,111722.464,3257301954.6592
1690238400000,111716.952,3257074200.01344
1690238700000,111707.478,3255573478.6332135
1690239000000,111664.674,3253461941.664
1690239300000,111631.004,3252871756.1651936
1690239600000,111664.322,3255271814.2406
1690239900000,111670.706,3255214850.9840584
1690240200000,111627.344,3255321256.6656
1690240500000,111658.756,3256540784.8616223
1690240800000,111657.609,3257499084.966
1690241100000,111733.628,3260342571.5888
1690241400000,111706.312,3259302704.078688
1690241700000,111750.124,3259717592.0428
1690242000000,111782.401,3261374509.8161
1690242300000,111776.571,3259398562.197226
1690242600000,111737.873,3258643568.8189883
1690242900000,111783.054,3261589121.34839
1690243200000,111780.471,3259943300.1498
1690243500000,111773.726,3260137798.3598
1690243800000,111760.356,3256644701.292625
1690244100000,111699.544,3256700734.9096
1690244400000,111691.855,3254938525.620969
1690244700000,111804.176,3260377739.5046396
1690245000000,111797.343,3260689737.833356
1690245300000,111834.619,3260433658.585749
1690245600000,111853.324,3257873470.8212
1690245900000,111970.532,3259887674.5416
1690246200000,112028.961,3261902501.2520413
1690246500000,112083.436,3263466155.9504
1690246800000,112175.883,3264688375.7139
1690247100000,112301.963,3267067886.483015
1690247400000,112339.037,3266111460.0269
1690247700000,112345.664,3264848127.310546
1690248000000,112412.368,3268063603.7328
1690248300000,112465.153,3268120714.6665597
1690248600000,112358.15,3265026716.665
1690248900000,112318.801,3261337641.2450237
1690249200000,112301.402,3263670091.9847417
1690249500000,112292.446,3261826054.4296
1690249800000,112249.261,3263142141.9005
1690250100000,112215.847,3260999642.608854
1690250400000,112218.174,3262193539.9974
1690250700000,112113.095,3258389999.3115654
1690251000000,112076.152,3256417426.8208
1690251300000,112071.253,3258202709.9678
1690251600000,112023.437,3258660961.2367
1690251900000,112039.299,3258887090.013
1690252200000,111983.592,3259185635.549646
1690252500000,111938.878,3260318547.944923
1690252800000,111813.496,3259351881.55117
1690253100000,111788.345,3258230552.813927
1690253400000,111786.509,3257593016.0708
1690253700000,111761.493,3254248800.8754
1690254000000,111684.429,3252205898.7084
1690254300000,111714.419,3253239399.104649
1690254600000,111703.791,3253157723.0918045
1690254900000,111722.6,3252971082.9
1690255200000,111689.832,3251174495.1373677
1690255500000,111689.179,3250702385.8771
1690255800000,111750.547,3250029983.3463
1690256100000,111700.449,3249549931.6006403
1690256400000,111672.337,3249151313.9498
1690256700000,111644.669,3248346302.4226
1690257000000,111605.649,3247835991.549
1690257300000,111477.593,3244923220.3219
1690257600000,111516.197,3245076726.2212
1690257900000,111529.585,3245774779.8241453
1690258200000,111547.665,3247219456.749
1690258500000,111467.396,3244061316.572725
1690258800000,111470.614,3242546299.9562073
1690259100000,111468.743,3241619678.6501584
1690259400000,111502.53,3241936059.75
1690259700000,111496.622,3243093432.2048182
1690260000000,111422.615,3239255978.757
1690260300000,111448.479,3239539808.1804
1690260600000,111468.76,3240034733.866772
1690260900000,111454.575,3240855524.5934443
1690261200000,111431.699,3240433806.92
1690261500000,111333.517,3238531237.202454
1690261800000,111325.369,3237814312.623895
1690262100000,111327.753,3238620450.9927354
1690262400000,111247.289,3236172512.2811
1690262700000,111169.724,3233921593.1563416
1690263000000,111117.01,3233382762.289
1690263300000,111042.023,3233284409.5524797
1690263600000,110999.033,3232254415.9887986
1690263900000,110994.777,3231568534.4442
1690264200000,110984.389,3232279452.627417
1690264500000,111113.162,3237015303.2812
1690264800000,111065.07,3233377490.5623245
1690265100000,111029.175,3231370903.365
1690265400000,111024.588,3233468998.4532
1690265700000,111033.825,3235030924.6865067
1690266000000,111065.117,3233419040.41694
1690266300000,111089.683,3235653651.8995
1690266600000,111133.758,3237953635.6343727
1690266900000,111079.55,3235247433.525
1690267200000,111108.405,3236876719.503
1690267500000,111116.636,3234180910.9800243
1690267800000,111163.14,3237689343.352154
1690268100000,111162.916,3237934750.8367314
1690268400000,111161.545,3238473169.9417725
1690268700000,111165.178,3240301984.8015394
1690269000000,111132.52,3238049816.5517707
1690269300000,111170.799,3238579768.2578154
1690269600000,111096.841,3235702483.7694197
1690269900000,111047.743,3234587553.3297
1690270200000,111145,3239676689
1690270500000,111081.291,3236897711.6109
1690270800000,111092.699,3237153799.780168
1690271100000,111038.035,3235381848.616
1690271400000,110918.967,3229736213.971119
1690271700000,111032.191,3235255981.358
1690272000000,110983.665,3233198325.513
1690272300000,110968.625,3234475897.0769887
1690272600000,110991.81,3232872850.549005
1690272900000,111050.889,3233124477.2571
1690273200000,111060.807,3233527888.216614
1690273500000,111065.049,3235299562.4722047
1690273800000,111120.681,3238167765.021
1690274100000,111086.397,3236135591.4849
1690274400000,111132.734,3239841481.0286
1690274700000,111078.307,3238123651.046934
1690275000000,111119.481,3240232954.0119
1690275300000,110981.035,3237572176.808744
1690275600000,111002.729,3238913814.8881235
1690275900000,111046.855,3238993633.83708
1690276200000,111066.834,3239919956.266314
1690276500000,111061.421,3239464861.733285
1690276800000,111026.31,3238071228.519
1690277100000,111114.081,3243140708.548811
1690277400000,111087.151,3242889438.1373
1690277700000,111206.382,3244891020.378
1690278000000,110444.514,3231959902.0848
1690278300000,110754.865,3233997896.019353
1690278600000,110801.776,3236652839.0912
1690278900000,110847.814,3234827416.8364
1690279200000,110811.699,3230604272.646
1690279500000,110875.102,3231182365.728445
1690279800000,111061.981,3239744622.9586
1690280100000,111084.846,3240560980.8175583
1690280400000,111107.788,3240891957.3932
1690280700000,111146.027,3243050640.313831
1690281000000,111063.324,3241372004.6076
1690281300000,111025.716,3238775571.7224
1690281600000,111075.253,3239548824.967303
1690281900000,111089.179,3240159393.6869617
1690282200000,111100.099,3240445477.5231
1690282500000,111017.572,3236817227.4748
1690282800000,111100.556,3238770078.3452
1690283100000,111106.536,3239455495.5768
1690283400000,111094.671,3237765310.5582
1690283700000,111130.173,3239155659.2507024
1690284000000,111102.779,3237514157.0382814
1690284300000,111154.388,3239157189.3512645
1690284600000,111140.394,3239351831.5008216
1690284900000,111381.462,3245697011.168947
1690285200000,111540.539,3250210756.826211
1690285500000,111416.925,3243957621.2561207
1690285800000,111411.429,3244623905.6241
1690286100000,111722.532,3252971054.8488398
1690286400000,111830.531,3256225486.3925
1690286700000,111994.91,3261497425.8541493
1690287000000,112108.61,3263693405.5422754
1690287300000,112277.065,3268295540.498
1690287600000,112271.715,3266702728.326
1690287900000,112291.657,3270296012.4099627
1690288200000,112260.333,3270004431.9223
1690288500000,112317.056,3271761346.984666
1690288800000,112315.117,3269856785.496645
1690289100000,112363.835,3271169673.6705
1690289400000,112434.668,3272922848.932248
1690289700000,112456.222,3272845852.3012795
