,rsi_adx_atr,Buy & Hold
Start,2017-08-17 04:00:00+00:00,2017-08-17 04:00:00+00:00
End,2026-02-09 10:00:00+00:00,2026-02-09 10:00:00+00:00
Total Return [%],1065444.697507848,577.180466766632
Annualized Return [%],198.41,25.29
Max Drawdown [%],26.7957009559018,94.25790176169279
Sharpe Ratio,3.8644325282292584,0.7040433498623013
Sortino Ratio,7.365069459652921,0.9911456259653999
Calmar Ratio,7.416870112959205,0.2686584895421067
Win Rate [%],61.19489559164734,
Profit Factor,2.7050193056049,
Total Trades,1724,1
Avg Winning Trade [%],1.461653890262851,
Avg Losing Trade [%],-0.8721378950089765,
Max Drawdown Duration,86 days 04:00:00,1381 days 03:00:00
Expectancy,61800.73651437635,
Alpha [%],1064867.5170410813,0.0
