,rsi_adx_atr,Buy & Hold
Start,2019-11-27 07:00:00+00:00,2019-11-27 07:00:00+00:00
End,2026-02-11 17:00:00+00:00,2026-02-11 17:00:00+00:00
Total Return [%],5950174484.94701,1430.217155127569
Annualized Return [%],1685.74,55.15
Max Drawdown [%],18.90093933670891,81.38406621490165
Sharpe Ratio,6.427256962101729,0.9491536695170972
Sortino Ratio,11.119437879227622,1.3275443806148663
Calmar Ratio,88.99711435616699,0.6771139837425747
Win Rate [%],42.31364058150325,
Profit Factor,2.7847823895785737,
Total Trades,9699,1
Avg Winning Trade [%],1.0492717953464632,
Avg Losing Trade [%],-0.7801140689282505,
Max Drawdown Duration,32 days 18:00:00,1383 days 00:00:00
Expectancy,61348329.56951262,
Alpha [%],5950173054.729855,0.0
