,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],3915.832751759859,43.046474096767575
Annualized Return [%],145.43,9.09
Max Drawdown [%],16.872943232590092,67.39257810463717
Sharpe Ratio,4.420662408595427,0.42656135535650624
Sortino Ratio,7.785102464617466,0.6006094388243011
Calmar Ratio,8.609692829703668,0.1348405968892718
Win Rate [%],63.40150699677072,
Profit Factor,2.8676828911912384,
Total Trades,930,1
Avg Winning Trade [%],1.0206377704861043,
Avg Losing Trade [%],-0.6564668708423376,
Max Drawdown Duration,43 days 20:00:00,653 days 19:00:00
Expectancy,425.63445204524044,
Alpha [%],3872.7862776630914,0.0
