,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],25006.962450087303,-47.7066092573272
Annualized Return [%],283.23,-14.58
Max Drawdown [%],13.238661946845012,76.68549186421077
Sharpe Ratio,5.27180668401408,0.11537772376772037
Sortino Ratio,9.837775686315554,0.1610749258446423
Calmar Ratio,21.366405060177488,-0.19003601187193891
Win Rate [%],63.627450980392155,
Profit Factor,3.326213032944977,
Total Trades,1020,1
Avg Winning Trade [%],1.2842510546559245,
Avg Losing Trade [%],-0.7228165125839084,
Max Drawdown Duration,51 days 17:00:00,791 days 20:00:00
Expectancy,2451.662985302678,
Alpha [%],25054.66905934463,0.0
