,rsi_adx_atr_enhanced,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],0.0,-47.7066092573272
Annualized Return [%],0.0,-14.58
Max Drawdown [%],,76.68549186421077
Sharpe Ratio,inf,0.11537772376772037
Sortino Ratio,inf,0.1610749258446423
Calmar Ratio,,-0.19003601187193891
Win Rate [%],,
Profit Factor,,
Total Trades,0,1
Avg Winning Trade [%],,
Avg Losing Trade [%],,
Max Drawdown Duration,,791 days 20:00:00
Expectancy,,
Alpha [%],47.7066092573272,0.0
