,rsi_adx_atr_enhanced,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],-12.151631941089573,43.046474096767575
Annualized Return [%],-3.1,9.09
Max Drawdown [%],26.780262748863375,67.39257810463717
Sharpe Ratio,-0.20866232409281377,0.42656135535650624
Sortino Ratio,-0.2895170642019076,0.6006094388243011
Calmar Ratio,-0.11570672888611495,0.1348405968892718
Win Rate [%],30.464584920030465,
Profit Factor,0.8843249150610202,
Total Trades,1313,1
Avg Winning Trade [%],0.7951250737853341,
Avg Losing Trade [%],-0.7072485910380392,
Max Drawdown Duration,1440 days 18:00:00,653 days 19:00:00
Expectancy,-0.9254860579656805,
Alpha [%],-55.198106037857144,0.0
