,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],37261.184443096776,43.046474096767575
Annualized Return [%],322.11,9.09
Max Drawdown [%],21.438373680061158,67.39257810463717
Sharpe Ratio,5.021676278365215,0.42656135535650624
Sortino Ratio,8.411352749526191,0.6006094388243011
Calmar Ratio,15.004891647111673,0.1348405968892718
Win Rate [%],40.4189294026377,
Profit Factor,2.07447290968867,
Total Trades,6446,1
Avg Winning Trade [%],0.6973752618967635,
Avg Losing Trade [%],-0.5452955179153354,
Max Drawdown Duration,62 days 19:00:00,653 days 19:00:00
Expectancy,583.6712582184947,
Alpha [%],37218.13796900001,0.0
