,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],1952566.8503920669,-47.7066092573272
Annualized Return [%],1004.52,-14.58
Max Drawdown [%],12.997149124083753,76.68549186421077
Sharpe Ratio,6.444811666768129,0.11537772376772037
Sortino Ratio,10.869536689384844,0.1610749258446423
Calmar Ratio,77.14259214679132,-0.19003601187193891
Win Rate [%],45.91372549019608,
Profit Factor,3.191123351988834,
Total Trades,6375,1
Avg Winning Trade [%],0.8951840588779322,
Avg Losing Trade [%],-0.6554240093064683,
Max Drawdown Duration,26 days 11:00:00,791 days 20:00:00
Expectancy,30628.49961399324,
Alpha [%],1952614.5570013241,0.0
