,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],13576.775718459274,43.046474096767575
Annualized Return [%],230.61,9.09
Max Drawdown [%],13.358268347867588,67.39257810463717
Sharpe Ratio,4.381313442516959,0.42656135535650624
Sortino Ratio,7.315482170208709,0.6006094388243011
Calmar Ratio,17.242548115152136,0.1348405968892718
Win Rate [%],39.14463452566096,
Profit Factor,1.7955918402947264,
Total Trades,6431,1
Avg Winning Trade [%],0.6467428910471107,
Avg Losing Trade [%],-0.545909575346101,
Max Drawdown Duration,47 days 23:00:00,653 days 19:00:00
Expectancy,213.17656384912846,
Alpha [%],13533.729244362507,0.0
