,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],524442.9378405128,-47.7066092573272
Annualized Return [%],702.39,-14.58
Max Drawdown [%],13.553967904850397,76.68549186421077
Sharpe Ratio,5.8757475344349235,0.11537772376772037
Sortino Ratio,9.848179153550804,0.1610749258446423
Calmar Ratio,51.73392271056875,-0.19003601187193891
Win Rate [%],44.386792452830186,
Profit Factor,2.9051639640836413,
Total Trades,6360,1
Avg Winning Trade [%],0.8275877379621309,
Avg Losing Trade [%],-0.6403840378507815,
Max Drawdown Duration,44 days 10:00:00,791 days 20:00:00
Expectancy,8245.958142146452,
Alpha [%],524490.6444497702,0.0
