,rsi_adx_atr,Buy & Hold
Start,2014-09-17 00:00:00+00:00,2014-09-17 00:00:00+00:00
End,2026-02-11 00:00:00+00:00,2026-02-11 00:00:00+00:00
Total Return [%],1386.2263874954997,14432.894630518256
Annualized Return [%],26.7,54.75
Max Drawdown [%],34.25860768189654,83.39900882218973
Sharpe Ratio,6.124771624357653,4.839513781709413
Sortino Ratio,12.628925234125376,7.109295839992762
Calmar Ratio,847.8586539328037,42236.05879589058
Win Rate [%],76.31578947368422,
Profit Factor,6.021607938472243,
Total Trades,76,1
Avg Winning Trade [%],6.17676684070434,
Avg Losing Trade [%],-3.724215749464081,
Max Drawdown Duration,20 days 21:00:00,44 days 23:00:00
Expectancy,1823.9820888098689,
Alpha [%],-13046.668243022756,0.0
