rsi_period,oversold,overbought,min_adx,stop_loss_atr,take_profit_atr,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
10,30,65,15,1.5,4.0,790.4593749115148,3.7100977348951023,9.50737657000403,63.91752577319587,582
14,35,65,15,1.5,4.0,1142.9334908492215,3.629933642955535,9.064740693625478,62.5,648
18,35,65,20,1.5,4.0,1362.8528843025156,3.602019879631527,14.602887551037533,65.01079913606912,463
14,35,70,20,1.5,4.0,1358.9005168956107,3.5548136559515036,9.416870096926383,62.410071942446045,556
14,35,65,20,1.5,4.0,800.2083004737867,3.512320616977299,9.118160849550613,65.77777777777779,450
10,30,65,15,1.5,3.0,663.6534697852435,3.5058270672221843,9.50737657000403,63.57388316151202,582
18,40,65,20,1.5,4.0,1534.7383362536557,3.4994635593524706,14.602887551037544,60.92362344582594,563
14,30,70,20,1.5,4.0,1140.0289088806496,3.497573178634819,14.461194529577245,63.597430406852254,467
14,35,70,15,1.5,4.0,1759.8500030255657,3.479551954035299,12.162080883863648,58.35579514824798,742
18,30,65,20,1.5,4.0,922.404753976121,3.415953897897756,14.602887551037552,66.76384839650146,343
10,40,75,15,1.5,4.0,2307.379354615412,3.4111516284420804,11.251804427241694,56.534365924491766,1033
10,30,75,15,1.5,4.0,1643.5814647802029,3.4086567852911283,15.549916660214002,57.95314426633785,811
10,30,65,15,1.5,2.5,614.4339488660363,3.4047878297934013,9.50737657000403,63.05841924398625,582
14,40,65,15,1.5,4.0,1313.3233709584993,3.395139585291611,9.303837857289425,62.3921085080148,811
10,35,75,15,1.5,4.0,1974.9416988111104,3.3850167869866796,16.875453134865896,56.748140276301804,941
10,30,65,15,2.0,4.0,699.8715619664159,3.3846441796314504,11.786628736921724,65.28776978417267,556
10,40,65,15,1.5,4.0,880.3611540262166,3.3816073119528416,12.127030083620006,61.849710982658955,865
18,40,65,15,1.5,4.0,1833.6564716260448,3.3701293835143793,16.80713689200747,57.91505791505791,777
10,35,65,15,1.5,4.0,808.2278607620856,3.3679821347193135,16.027713940157046,61.84573002754821,726
18,35,70,20,1.5,4.0,2008.6054695867206,3.367412417904289,14.602887551037538,57.26495726495726,585
18,35,65,15,1.5,4.0,1456.8662394304351,3.3621038837026513,14.602887551037542,60.64516129032258,620
14,35,65,15,1.5,3.0,831.7051832235016,3.3439571900937177,9.06474069362551,62.03703703703704,648
14,35,65,20,1.5,3.0,655.6362476440481,3.334259725577044,9.118160849550613,65.25612472160356,449
18,35,65,20,1.5,3.0,998.6977166418291,3.325091377265141,14.602887551037561,63.44086021505376,465
10,40,70,15,1.5,4.0,1229.3924765985753,3.3025666028672482,10.176981256641513,60.33402922755741,958
14,40,70,20,1.5,4.0,1490.789842578546,3.287919874528348,9.416870096926388,59.97088791848617,687
14,30,70,15,1.5,4.0,1177.609496662052,3.2678368859412776,14.46119452957729,59.11330049261084,609
14,30,65,20,1.5,4.0,586.8996000038873,3.2672765629536977,9.472217914446098,64.81994459833795,361
18,35,70,15,1.5,4.0,2306.2812096338,3.2643940273456864,14.602887551037542,54.338549075391185,703
10,35,65,15,1.5,3.0,730.904431703456,3.255100507571071,16.027713940157046,61.70798898071625,726
14,30,70,20,1.5,3.0,858.3283553869958,3.2436806911794855,14.461194529577298,62.526766595289075,467
18,35,65,20,2.0,4.0,1139.0075924106259,3.239712211879408,11.389765271865292,65.807962529274,427
14,35,70,20,1.5,3.0,959.5785101051806,3.237266354297564,9.416870096926397,61.51079136690647,556
14,40,70,15,1.5,4.0,1944.1335882145231,3.228729849590947,11.411939324220867,57.30211817168339,897
10,30,65,15,2.0,3.0,603.9147280271827,3.2185937990578353,11.786628736921752,65.10791366906474,556
18,30,70,20,1.5,4.0,1386.357894304185,3.2168976132332734,14.602887551037563,58.951965065502186,458
10,30,65,15,2.5,4.0,662.0319151924255,3.213756343782312,12.876242216118774,66.29422718808193,537
18,30,65,20,1.5,3.0,729.2695923031221,3.2052481285157244,14.602887551037528,65.40697674418605,344
10,40,65,15,1.5,3.0,749.1288878233748,3.1991831571584175,12.127030083620006,61.50289017341041,865
14,40,65,20,1.5,4.0,825.2695790923566,3.1969433764717725,9.303837857289471,63.6986301369863,584
14,35,65,15,2.0,4.0,906.4990616911274,3.1939611176743035,10.57793299363277,63.888888888888886,612
18,30,65,15,1.5,4.0,913.4860379559019,3.1923181231559403,14.602887551037542,62.61467889908256,436
10,40,75,20,1.5,4.0,1386.80704140864,3.187897960342398,9.416870096926374,55.434782608695656,828
18,40,65,20,1.5,3.0,1022.7897483719387,3.1813415977673163,14.602887551037533,59.717314487632514,566
10,30,70,15,1.5,4.0,822.0952966616674,3.1806030912692345,16.365775165665067,60.82036775106082,707
18,40,70,15,1.5,4.0,2491.6397810107933,3.1673056682299876,16.807136892007442,51.577669902912625,824
18,40,70,20,1.5,4.0,1937.44016969003,3.153419576732034,14.602887551037547,53.74251497005989,668
10,35,75,15,2.0,4.0,1812.9374270448168,3.1500634971155783,13.292373474688485,59.95260663507109,844
14,30,65,20,1.5,3.0,506.7511848213924,3.1487668911879365,9.472217914446098,64.26592797783933,361
10,35,65,15,2.0,4.0,735.1697295515348,3.1470923037078324,15.600167090663108,62.96829971181557,694
18,40,65,20,2.0,4.0,1291.1789202862096,3.1466910609049905,11.389765271865281,63.17829457364341,516
10,35,70,15,1.5,4.0,959.4345078077007,3.14023671618434,15.755414200453352,60.473372781065095,845
14,30,70,20,2.0,4.0,978.7888959891129,3.126308658765165,12.020878256086528,66.27634660421545,427
14,35,70,15,2.0,4.0,1431.6083864370157,3.1201488511347013,13.68129551948665,60.0297176820208,673
14,30,65,15,1.5,4.0,627.2004582266868,3.113612231788449,9.88822152760714,61.22047244094488,508
10,35,75,20,1.5,4.0,1119.5065878359567,3.1116619454695944,14.464859172209039,56.480218281036834,733
10,30,75,20,1.5,4.0,942.7249886694833,3.1090780278653245,14.464859172209065,57.18849840255591,626
10,40,65,15,2.0,4.0,766.9273791787527,3.0969914097500117,13.281692074899269,63.3495145631068,824
14,35,65,20,1.5,2.5,534.8040905518889,3.096142645493765,9.118160849550613,64.44444444444444,450
14,35,70,20,2.0,4.0,1024.2756766840557,3.0800980070652457,10.905278121658043,64.29980276134121,507
10,30,75,15,2.0,4.0,1420.7904198860479,3.0789819721069045,13.937184560413101,60.6267029972752,734
10,30,65,15,2.0,2.5,531.8780638813805,3.070231189635778,11.786628736921749,64.568345323741,556
18,35,65,15,2.0,4.0,1261.8770087284881,3.069833279691456,11.698249707270216,62.5886524822695,564
14,35,65,20,2.0,4.0,628.4707495049306,3.0670304013725733,11.386188150605792,66.2004662004662,429
10,40,75,15,2.0,4.0,1854.974051144297,3.0605420406215953,11.472999045158844,59.15948275862068,928
14,40,65,15,1.5,3.0,892.7387558912983,3.0559649352741944,9.064740693625504,61.69950738916257,812
18,40,70,25,1.5,4.0,1110.5649173520667,3.04981748237242,14.602887551037554,55.82959641255605,446
14,35,65,15,1.5,2.5,636.2144338872986,3.0457552577758134,9.06474069362548,61.23076923076923,650
10,35,65,15,2.0,3.0,662.6050318503726,3.036836349638173,15.600167090663062,62.824207492795395,694
10,40,70,15,1.5,3.0,943.7025900391986,3.0360686767267016,10.176981256641513,59.791666666666664,960
18,35,70,25,1.5,4.0,1010.1388688358597,3.0354115246183335,14.602887551037528,58.79396984924623,398
14,40,65,20,1.5,3.0,685.1120954482587,3.0344948935474703,9.064740693625502,63.464837049742705,583
10,30,65,15,2.5,3.0,559.4793794363928,3.0308338077266685,12.876242216118792,66.10800744878958,537
18,30,65,20,2.0,4.0,756.6153523637017,3.0307620862206566,11.389765271865276,66.9753086419753,324
14,40,65,15,2.0,4.0,1067.2465357105289,3.027756612156976,10.577932993632743,63.7203166226913,758
14,35,70,15,1.5,3.0,1028.6850589706505,3.0251973634467806,12.162080883863629,57.506702412868634,746
18,35,65,15,1.5,3.0,967.3497380430683,3.023496112965713,14.602887551037561,59.61538461538461,624
14,35,75,20,1.5,4.0,1879.4745878255583,3.0199290842092195,14.602887551037544,55.37065052950075,661
14,30,65,20,1.5,2.5,454.8277715861851,3.013834015542634,9.472217914446098,63.711911357340725,361
14,30,70,15,2.0,4.0,1108.204836567465,3.0134837395293026,13.681295519486673,61.30198915009042,553
14,35,70,25,1.5,4.0,606.192050341428,3.0104717086991264,9.416870096926393,64.65517241379311,348
10,35,65,15,1.5,2.5,585.8387163257196,3.0067902246145284,16.027713940157053,60.60606060606061,726
18,35,65,20,1.5,2.5,708.9461769180626,3.003587664819161,14.602887551037567,62.893081761006286,477
18,35,70,20,2.0,4.0,1572.3112755760726,2.994838095268308,11.455398520202387,59.92217898832685,514
14,35,75,15,1.5,4.0,2274.9142871805693,2.983025302260174,16.807136892007463,52.926208651399484,786
18,35,70,20,1.5,3.0,1235.690733205973,2.9799728859520775,14.602887551037542,56.738768718802,601
10,35,75,15,1.5,3.0,1212.3691037080512,2.9754086285217203,16.875453134865896,56.48050579557429,949
14,30,70,20,1.5,2.5,643.6253213909004,2.9670711441579765,14.461194529577254,62.0253164556962,474
14,30,65,20,2.0,4.0,521.385414163494,2.965888425712678,11.731409444825621,66.95402298850574,348
18,40,65,15,1.5,3.0,1083.7649642970423,2.9585888970828673,16.807136892007506,57.416879795396426,782
18,30,65,20,1.5,2.5,556.5378642225107,2.9546713763240633,14.602887551037533,64.67236467236467,351
10,35,70,15,1.5,3.0,792.3255429647754,2.9471094139866096,15.755414200453352,60.16548463356975,846
18,40,65,25,1.5,4.0,602.3756594124857,2.944425208906037,14.602887551037577,63.50574712643679,348
10,30,75,15,1.5,3.0,963.6513560983667,2.94403355143708,15.549916660213977,57.52753977968176,817
10,40,75,15,1.5,3.0,1304.9978700473068,2.9415594029646517,11.251804427241726,56.03448275862068,1044
18,30,65,15,1.5,3.0,681.3584312974843,2.9413581080627833,14.602887551037547,61.327231121281464,437
10,30,65,20,1.5,4.0,364.4519712247568,2.9410940018854803,8.493335140455411,63.29113924050633,395
18,30,70,15,1.5,4.0,1257.6098049834325,2.9376665529039205,14.602887551037547,55.21821631878557,527
14,40,65,20,2.0,4.0,732.9501232043885,2.9303365140170343,10.256335153079858,64.89945155393053,547
18,40,65,15,2.0,4.0,1390.7750288766035,2.929131654832151,17.27219959056799,60.36931818181818,704
14,30,70,15,1.5,3.0,790.0613406031597,2.9212731554457783,14.68332393101766,58.40130505709625,613
10,40,65,15,1.5,2.5,580.3009952973266,2.9177884516447112,12.777724875492783,60.578034682080926,865
10,30,65,15,2.5,2.5,507.4375586116714,2.9144842127010993,12.876242216118792,65.54934823091247,537
14,30,65,15,1.5,3.0,495.3556153234699,2.9092981579182897,9.06474069362551,60.90373280943025,509
14,40,70,20,2.0,4.0,1187.1217994272026,2.9091011941402356,11.041816869900742,62.540192926045016,622
18,35,65,20,2.0,3.0,801.0116735903937,2.9087396914025243,14.220547237104572,65.34883720930232,430
10,30,70,15,1.5,3.0,628.8969447520899,2.9050545593773762,16.365775165665067,60.451977401129945,708
10,40,70,15,2.0,4.0,974.5704882821857,2.900933047365106,11.952159682580442,62.14689265536724,885
18,35,65,20,2.5,4.0,916.2040102835622,2.8975898333952874,21.554429691864478,68.42105263157895,399
14,40,70,15,2.0,4.0,1561.21346068015,2.89651152404809,13.681295519486689,59.33250927070457,809
10,40,65,15,2.0,3.0,632.7254149547437,2.8920766474938135,13.28169207489925,62.98543689320388,824
10,35,65,15,2.5,4.0,654.9267368167816,2.882430701808978,18.455305934313404,64.19019316493313,673
18,30,70,20,1.5,3.0,915.734246984635,2.8774271094827437,14.60288755103753,58.51063829787234,470
14,30,75,20,1.5,4.0,1453.3075931046885,2.8743783595256467,14.602887551037568,54.8885077186964,583
10,35,70,15,2.0,4.0,867.2426039280705,2.8710599125931866,15.059200076433326,62.77278562259306,779
18,35,65,25,1.5,4.0,535.1727569058623,2.86794319850154,14.602887551037549,66.89419795221842,293
18,35,70,15,2.0,4.0,1694.9086607089555,2.862158581925674,11.538538123796831,57.073170731707314,615
14,40,70,20,1.5,3.0,906.4410509159816,2.861944697568005,9.416870096926376,58.951965065502186,687
14,35,65,15,2.0,3.0,629.1829239507388,2.8606384773282065,14.401926689108071,63.23529411764706,612
18,30,65,25,1.5,4.0,479.9922335928243,2.859382690642174,14.602887551037528,67.84313725490196,255
14,35,65,15,2.5,4.0,733.7171011842627,2.8567976680336544,16.936401518172143,65.18010291595198,583
14,35,70,20,1.5,2.5,643.4920851616263,2.852960865212922,9.416870096926425,60.99290780141844,564
14,35,65,20,2.0,3.0,506.9510063260983,2.8523514659698326,14.401926689108077,65.73426573426573,429
18,40,70,20,2.0,4.0,1593.8276920526152,2.851206711276239,11.389765271865278,57.52961082910322,591
10,30,75,20,2.0,4.0,876.0904125609879,2.8508627874655246,12.024647446437895,60.175438596491226,570
10,30,75,15,2.5,4.0,1348.0227791423565,2.837149229068699,19.573262291398922,63.543191800878475,683
18,30,70,25,1.5,4.0,749.3305575000162,2.8317705900071966,14.602887551037558,59.475218658892125,343
10,40,75,20,2.0,4.0,1126.976453962317,2.830118662186475,10.977561305141181,58.12080536912752,745
14,35,65,25,1.5,4.0,356.0226471803835,2.827663847697455,9.06474069362549,66.31944444444444,288
18,40,65,20,2.5,4.0,1031.39857853537,2.821556057114355,21.554429691864474,65.14522821576763,482
18,40,65,25,1.5,3.0,494.99013321252437,2.820764319006761,14.602887551037552,62.39316239316239,351
18,35,70,15,1.5,3.0,1243.070030379138,2.812339349393336,14.602887551037544,53.994490358126725,726
10,30,70,15,2.0,4.0,703.4606622219251,2.8112452419457026,15.345533435281,62.63399693721286,653
18,30,70,20,2.0,4.0,1052.1866576513032,2.809192798176334,11.442583431458148,60.53268765133172,413
18,35,70,25,2.0,4.0,881.243199045158,2.8089286943736207,11.389765271865297,61.12676056338028,355
14,30,65,15,2.0,4.0,559.2625288025863,2.805897987422529,10.799998422633964,63.14699792960663,483
14,35,70,25,1.5,3.0,494.4153241522863,2.8041854916957956,9.416870096926365,63.89684813753582,349
10,35,75,20,2.0,4.0,959.728400506175,2.797053147091297,12.024647446437948,59.028831562974204,659
14,40,65,20,1.5,2.5,546.5729043672922,2.7954741764776014,9.064740693625506,63.013698630136986,584
18,40,65,20,1.5,2.5,681.409603735155,2.7935404048201717,14.602887551037544,59.16955017301038,578
10,35,75,20,1.5,3.0,787.931643097743,2.790217690692565,14.46485917220904,55.902306648575305,737
10,40,65,15,2.5,4.0,659.4231751263029,2.7883438536581813,13.868420588901179,63.65914786967418,798
10,40,70,20,1.5,4.0,594.0405483339335,2.787999844609332,9.416870096926397,60.22727272727273,704
10,35,75,15,2.5,4.0,1496.8355946175113,2.785652354709374,18.640794275494716,62.0125786163522,795
