period,oversold,overbought,exit_threshold,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
16,30,65,55,-53.04884987356652,-0.4671996882065395,59.92251933521183,51.0548523206751,474
14,25,65,55,-58.056801700939396,-0.6287210561221697,65.32699015805356,50.62344139650873,401
12,25,75,55,-60.248008317567425,-0.6516309933797313,67.38981665819041,44.42379182156134,538
12,25,70,55,-60.68207823490261,-0.6768310833810027,67.93903010492149,45.72490706319702,538
16,35,65,55,-60.94083203332331,-0.559967513902024,71.27817263735035,48.517940717628704,641
16,25,65,55,-64.01202756500302,-0.8127033492319613,69.88616891573199,48.66666666666667,300
14,25,65,50,-64.13732702398364,-0.8326928751967928,69.70692174289374,44.36450839328538,417
14,25,70,55,-64.84029016667526,-0.796883281889744,70.12854232399023,49.37655860349127,401
12,25,65,55,-65.03185064354102,-0.7788536214043915,70.13722653117654,46.09665427509294,538
16,30,75,55,-65.45761548309741,-0.7192303189221124,69.94469404384282,50.210970464135016,474
14,25,65,45,-67.71166572566749,-0.9668572074499868,70.83041247231611,40.61032863849765,426
16,30,70,55,-68.08285616533865,-0.7907116717199233,72.07296878213262,50.84388185654009,474
14,25,75,55,-68.5253608416134,-0.880373754505781,73.38732236950119,47.63092269326683,401
14,25,70,45,-71.0726399292669,-1.0643674231096532,73.49724805144882,39.436619718309856,426
16,35,75,55,-71.17271979630362,-0.7919608287814836,76.4152061724046,46.02184087363494,641
12,25,65,50,-71.34793784843292,-0.9988642210891957,74.5796736872161,42.549371633752244,557
12,25,75,50,-71.39243453163117,-0.9715304701693438,73.96014483562215,39.138240574506284,557
12,25,75,45,-71.44673044986568,-0.993118387202685,73.80926529152781,37.10801393728223,574
14,25,75,50,-71.48512830185526,-1.0285507383924783,75.29707062348615,41.48681055155875,417
14,25,75,45,-71.50922471404603,-1.0446348493273285,73.28879110419598,37.558685446009385,426
16,30,65,50,-71.56877173096007,-0.9649797756377334,74.97194947463557,43.625498007968126,502
14,25,70,50,-72.46916409619872,-1.0924457318650798,75.76107246740558,43.16546762589928,417
16,30,75,45,-72.82020016380994,-1.0137313253377178,76.35087411223532,41.132075471698116,530
16,30,65,45,-73.25032586784073,-1.0567692296922075,76.69293261924727,41.132075471698116,530
16,25,75,55,-73.80857728950974,-1.1043463987922215,77.81698738939086,47.66666666666667,300
12,25,70,45,-73.96937155579147,-1.1249816346089303,76.00488921930622,38.32752613240418,574
12,25,65,45,-74.17968279768996,-1.1450684438354248,76.32004001297648,40.76655052264808,574
16,35,70,55,-74.33958557380527,-0.8899135517859522,79.70808237321981,47.113884555382214,641
16,25,70,55,-74.41261246427906,-1.1404615798648026,78.20688584234176,47.66666666666667,300
16,30,70,50,-75.02520141840048,-1.0705238844189564,78.07618539875682,44.6215139442231,502
12,25,70,50,-75.87727810825045,-1.1658574171347489,78.50308704552438,40.21543985637343,557
16,25,65,45,-76.54988338904303,-1.391503932772835,80.34310574278064,38.31775700934579,321
16,30,75,50,-77.04207592838026,-1.1215408184036189,79.95921029163009,43.42629482071713,502
16,25,65,50,-77.19731964097011,-1.3372252058277712,80.44617894932516,38.58520900321543,311
16,30,70,45,-77.36656359322683,-1.2028795416139793,80.19607617856022,41.88679245283019,530
12,30,75,55,-77.79874594524613,-1.038733071031279,80.4279679888315,40.8660351826793,739
12,30,70,55,-78.12755815254239,-1.070026773267407,80.54632974995438,42.760487144790254,739
12,30,65,55,-78.70105062847571,-1.0897705739339387,80.38277769772102,43.843031123139376,739
16,25,70,45,-79.25043445783436,-1.5172761659333251,83.15809296279151,37.38317757009346,321
14,30,65,55,-79.77624669697254,-1.1443359566391715,82.51239762820292,44.79717813051146,567
16,25,75,45,-79.82901761264533,-1.527173627748198,82.34336271254382,36.44859813084112,321
14,35,65,55,-80.037610869688,-1.0715665984678013,82.47793497911967,45.04623513870541,757
16,25,70,50,-80.15740047024472,-1.4642183986325852,83.03214165391934,38.263665594855304,311
12,30,75,50,-80.44674514398031,-1.1462624754517814,81.64060481217906,37.46835443037975,790
16,35,65,50,-80.64592323078107,-1.179910546120172,83.55609689527714,40.88952654232425,697
12,30,70,50,-82.26287066574326,-1.2707815263588207,83.69045779075556,39.11392405063291,790
14,35,70,55,-82.46183292139747,-1.17942472183492,84.95412335317334,43.72523117569353,757
14,30,70,55,-82.56883336753103,-1.2796070026891095,84.6495374809463,43.91534391534391,567
14,30,65,50,-82.5748823368556,-1.3469381467802926,84.88422741563821,40.13266998341625,603
12,30,65,50,-82.6510408696402,-1.2973849573217175,84.01289207707879,40.88607594936709,790
16,35,75,50,-83.57334284465186,-1.2731042790151426,85.88718581395935,38.45050215208035,697
12,30,75,45,-83.67199290571506,-1.3362569249454384,85.10196010638779,35.343787696019305,829
16,25,75,50,-83.71474670387067,-1.6292148095193442,86.151871984055,36.97749196141479,311
16,35,70,50,-83.71615707900122,-1.3092215599032562,86.27618042389729,40.31563845050215,697
12,35,75,55,-84.02951548694026,-1.1847324086656055,85.85771226635069,39.228295819935695,934
12,35,70,55,-84.20552462696058,-1.2109516856472355,85.88916704224813,40.943193997856376,934
12,30,70,45,-84.99703322668182,-1.4737109830911828,86.9138693645017,37.03256936067551,829
12,35,65,55,-85.14886493823742,-1.264345149939439,86.21137734778233,42.97963558413719,934
14,30,75,55,-85.22170063702474,-1.386517396123794,87.11509368258073,41.9753086419753,567
14,35,75,55,-85.50863552477229,-1.2980926534777426,87.19515954793911,41.08322324966975,757
14,30,65,45,-85.69178799009893,-1.570953740534097,86.3941951119831,39.06976744186046,645
14,35,65,50,-86.51939007897323,-1.4666164442677252,88.10343941741807,40.26442307692308,832
12,30,65,45,-87.19991718056542,-1.6387027779449475,87.89635075167071,38.118214716525934,829
