period,oversold,overbought,exit_threshold,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
14,25,70,50,-55.737406223764,-0.34954962480084734,73.76049723133741,47.674418604651166,430
14,25,75,50,-58.720949458409144,-0.3792532525913908,75.26787139229604,45.11627906976744,430
14,30,75,50,-62.883214110281706,-0.3959814962290049,68.92475018544376,43.08943089430895,615
16,25,75,50,-63.85338488058715,-0.504076816086426,68.40120796069364,42.3780487804878,328
14,25,65,50,-66.02296804897938,-0.5306007186683968,78.57771535597986,48.372093023255815,430
16,25,75,45,-66.58461145231942,-0.5952840754339751,71.87670512076369,40.117994100294986,339
16,30,75,50,-68.30077032601639,-0.5078048990222743,73.13695490952728,43.4,500
14,25,75,45,-68.60393931276589,-0.5750918806856457,76.91560823601301,39.86636971046771,449
14,30,70,50,-70.18400461675579,-0.5556097205565542,74.38312029614835,46.666666666666664,615
16,30,75,45,-70.8720734433865,-0.5752763669701271,75.68512562173404,40.38095238095238,525
14,25,70,45,-70.9882901289308,-0.658139312913021,80.14994902617309,43.42984409799555,449
16,25,75,55,-71.38482021598594,-0.6342341324535347,76.43333254902225,49.681528662420384,314
14,30,65,50,-71.53416371053089,-0.5873592784836368,74.69538370790704,45.85365853658537,615
14,25,65,55,-72.81610694658313,-0.639960914039068,79.37136789128517,50.59665871121718,419
14,30,65,55,-73.38175619941714,-0.5879484354857638,80.34392728917152,47.87775891341256,589
14,25,65,45,-73.86657588344062,-0.741528039836211,82.17125807839726,45.211581291759465,449
14,25,70,55,-73.97286970762192,-0.6755538147741802,81.4485686712786,50.59665871121718,419
14,35,75,50,-74.0280561153977,-0.5689299906714256,78.4742513393769,43.95734597156398,844
16,25,70,50,-75.68148748450982,-0.7952154640987945,79.60382436582744,42.98780487804878,328
16,25,70,45,-76.90482580102756,-0.8864988590929718,80.51084505367483,41.88790560471977,339
16,25,65,50,-76.94490690336639,-0.8340747663828434,82.1149473854244,44.207317073170735,328
16,25,65,45,-77.51646368901042,-0.9243824004223606,80.61313116428602,43.067846607669615,339
16,35,75,50,-78.04229590715383,-0.6596137136211772,80.93333857887808,41.66666666666667,696
14,30,70,55,-78.1456162832472,-0.7188965264774503,81.22346373220576,48.217317487266556,589
16,25,70,55,-78.35736499724455,-0.8382340331596735,82.19911030871934,50.955414012738856,314
16,25,65,55,-78.51448949639787,-0.8399117419211461,81.13184547202839,50.318471337579616,314
16,30,75,55,-79.07795116487077,-0.7268275723169896,83.43404271081796,47.77070063694268,471
16,30,70,50,-79.56300640258665,-0.8035645929445513,82.60391239942054,44.0,500
16,35,75,45,-79.61384520058638,-0.7399524534940601,82.42287199530811,37.055837563451774,788
14,35,70,50,-79.63611432083759,-0.7407603437429741,82.43395529214833,45.85308056872038,844
14,25,75,55,-79.91053073099313,-0.8272802493542724,83.98533506248184,48.44868735083532,419
14,35,65,50,-80.48049048768083,-0.7679619762239152,82.51552120526433,45.97156398104265,844
14,30,75,45,-80.49800534631578,-0.8190984477047457,82.07834916709322,38.99082568807339,654
14,30,70,45,-81.50393282532752,-0.8966209789175773,82.97388395753563,42.813455657492355,654
14,30,75,55,-81.578334426011,-0.7994817409317659,84.25642405593344,44.99151103565365,589
12,25,70,50,-81.89587500485229,-0.9514558604649149,83.31125033121279,46.319569120287255,557
14,35,65,55,-82.09932793040224,-0.7525422354357654,85.93184710029121,49.871134020618555,776
16,30,65,50,-82.11771443629729,-0.8929426660629557,86.58635636408091,44.800000000000004,500
12,25,65,45,-82.24911855606267,-1.0005096345725433,84.804399348414,44.153577661431065,573
12,25,75,50,-82.47465529410786,-0.9587932085108956,83.87131123735429,43.806104129263915,557
12,25,70,45,-83.10881884471227,-1.04024525298475,85.57157644186157,42.23385689354276,573
14,30,65,45,-83.83935672440835,-1.0012910601889164,85.10279120447944,43.11926605504588,654
12,25,65,50,-83.88862297152895,-1.03499651698436,84.9315607389519,46.49910233393178,557
