,rsi_adx_atr,Buy & Hold
Start,2017-08-17 04:00:00+00:00,2017-08-17 04:00:00+00:00
End,2026-02-09 10:00:00+00:00,2026-02-09 10:00:00+00:00
Total Return [%],41764.965116252635,1514.0409813074054
Annualized Return [%],103.75,38.8
Max Drawdown [%],17.559459545342825,83.90598442375503
Sharpe Ratio,3.5534012813202973,0.8147150755709291
Sortino Ratio,7.051398462729616,1.151519889539723
Calmar Ratio,5.916700869772534,0.46301863605061266
Win Rate [%],62.558502340093604,
Profit Factor,2.5032740291815756,
Total Trades,1282,1
Avg Winning Trade [%],1.1650601129829112,
Avg Losing Trade [%],-0.654114984834807,
Max Drawdown Duration,91 days 13:00:00,1075 days 15:00:00
Expectancy,3257.79759097134,
Alpha [%],40250.92413494523,0.0
