,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00,2026-02-07 09:00:00+00:00
Total Return [%],176.80275972159387,46.0194731220741
Annualized Return [%],28.17,9.67
Max Drawdown [%],16.035627061460634,67.37711687834668
Sharpe Ratio,2.1679748235087026,0.43668987258573955
Sortino Ratio,3.720551881100017,0.6147730111540974
Calmar Ratio,1.7553350674029684,0.1433787458868394
Win Rate [%],61.09589041095891,
Profit Factor,2.3391502777042135,
Total Trades,365,1
Avg Winning Trade [%],0.8218477322125791,
Avg Losing Trade [%],-0.5597736238947193,
Max Drawdown Duration,313 days 08:00:00,653 days 18:00:00
Expectancy,48.43911225249149,
Alpha [%],130.78328659951978,0.0
