,rsi_adx_atr,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00,2026-02-07 09:00:00+00:00
Total Return [%],882.1333385156802,-45.962000020059
Annualized Return [%],74.52,-13.93
Max Drawdown [%],8.595484386741393,76.66656344991665
Sharpe Ratio,3.3619871430689954,0.12521961024977826
Sortino Ratio,6.181889586682898,0.17475441441755538
Calmar Ratio,8.662412625762673,-0.1816067654523134
Win Rate [%],62.708333333333336,
Profit Factor,3.027789455012235,
Total Trades,480,1
Avg Winning Trade [%],1.1785918694431334,
Avg Losing Trade [%],-0.6799645338904862,
Max Drawdown Duration,111 days 14:00:00,791 days 19:00:00
Expectancy,183.77777885743336,
Alpha [%],928.0953385357392,0.0
