Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2022-01-02 16:00:00+00:00,2022-01-02 18:00:00+00:00,47364.140235,47377.43943,-9.188310143171154,-0.09,0 days 02:00:00,Closed
2022-01-03 01:00:00+00:00,2022-01-03 19:00:00+00:00,47073.61504499999,46452.3622,-143.67714046043653,-1.44,0 days 18:00:00,Closed
2022-01-04 02:00:00+00:00,2022-01-04 14:00:00+00:00,46078.01749499999,46931.74239000001,170.41758871915502,1.73,0 days 12:00:00,Closed
2022-01-08 22:00:00+00:00,2022-01-10 13:00:00+00:00,41789.914515,40909.544995000004,-222.79607380387978,-2.23,1 days 15:00:00,Closed
2022-01-10 20:00:00+00:00,2022-01-12 01:00:00+00:00,41317.798575,42653.692485,304.559221873449,3.11,1 days 05:00:00,Closed
2022-01-14 15:00:00+00:00,2022-01-15 01:00:00+00:00,42997.377945,43078.450000000004,6.907627805404265,0.07,0 days 10:00:00,Closed
2022-01-18 21:00:00+00:00,2022-01-19 07:00:00+00:00,41805.862485,41689.734704999995,-40.15946236573609,-0.4,0 days 10:00:00,Closed
2022-01-19 14:00:00+00:00,2022-01-19 20:00:00+00:00,42212.94592499999,41851.513775,-98.15547616255598,-0.98,0 days 06:00:00,Closed
2022-01-20 03:00:00+00:00,2022-01-20 14:00:00+00:00,42004.25163,42352.902955,70.68389938983478,0.71,0 days 11:00:00,Closed
2022-01-23 09:00:00+00:00,2022-01-24 09:00:00+00:00,35864.69338499999,34942.310105000004,-269.9061915979919,-2.69,1 days 00:00:00,Closed
2022-01-24 16:00:00+00:00,2022-01-24 20:00:00+00:00,34254.428654999996,36048.3668,499.2667441876932,5.11,0 days 04:00:00,Closed
2022-02-02 09:00:00+00:00,2022-02-02 14:00:00+00:00,38466.72375,38342.429195000004,-45.45240668399214,-0.44,0 days 05:00:00,Closed
2022-02-02 21:00:00+00:00,2022-02-04 07:00:00+00:00,37584.782999999996,37971.02499,92.66642547993422,0.91,1 days 10:00:00,Closed
2022-02-08 21:00:00+00:00,2022-02-09 23:00:00+00:00,44294.085974999995,44535.471125000004,43.77536105230166,0.42,1 days 02:00:00,Closed
2022-02-14 12:00:00+00:00,2022-02-14 16:00:00+00:00,42133.766355,42563.677515,93.14724759452866,0.9,0 days 04:00:00,Closed
2022-02-16 19:00:00+00:00,2022-02-17 08:00:00+00:00,43869.073575,43897.500270000004,-5.770265417030739,-0.06,0 days 13:00:00,Closed
2022-02-17 15:00:00+00:00,2022-02-17 20:00:00+00:00,41947.273154999995,41183.61789,-202.47650861780298,-1.94,0 days 05:00:00,Closed
2022-02-18 03:00:00+00:00,2022-02-18 15:00:00+00:00,40782.80121,40463.57809,-92.37168447353591,-0.9,0 days 12:00:00,Closed
2022-02-18 22:00:00+00:00,2022-02-20 06:00:00+00:00,39991.035525,39330.23504500001,-179.71330132731376,-1.77,1 days 08:00:00,Closed
2022-02-20 13:00:00+00:00,2022-02-20 23:00:00+00:00,38232.176535,38796.75192,135.1176263044813,1.36,0 days 10:00:00,Closed
2022-02-21 15:00:00+00:00,2022-02-21 18:00:00+00:00,38699.350005,38508.39617000001,-61.93142578272036,-0.61,0 days 03:00:00,Closed
2022-02-22 01:00:00+00:00,2022-02-22 18:00:00+00:00,37248.344865,37622.139520000004,88.63543911186487,0.88,0 days 17:00:00,Closed
2022-02-24 18:00:00+00:00,2022-02-24 20:00:00+00:00,35849.775929999996,37281.35,392.02165478592315,3.87,0 days 02:00:00,Closed
2022-03-02 15:00:00+00:00,2022-03-03 15:00:00+00:00,44841.799694999994,43403.467410000005,-349.8342973548924,-3.33,1 days 00:00:00,Closed
2022-03-03 22:00:00+00:00,2022-03-04 01:00:00+00:00,42114.546749999994,41582.558320000004,-140.58911209958896,-1.38,0 days 03:00:00,Closed
2022-03-04 08:00:00+00:00,2022-03-04 18:00:00+00:00,41457.69849,40820.109735,-166.18350882893802,-1.66,0 days 10:00:00,Closed
2022-03-05 01:00:00+00:00,2022-03-05 19:00:00+00:00,38763.361995,39387.87621,146.97239379103638,1.49,0 days 18:00:00,Closed
