,rsi_adx_atr,Buy & Hold
Start,2020-01-02 05:00:00+00:00,2020-01-02 05:00:00+00:00
End,2026-02-11 05:00:00+00:00,2026-02-11 05:00:00+00:00
Total Return [%],67.7363927425498,275.9810636974785
Annualized Return [%],8.83,24.2
Max Drawdown [%],16.719881087252986,33.43370956600401
Sharpe Ratio,4.428195325459699,4.977662516547979
Sortino Ratio,7.547684921239556,7.407727971946209
Calmar Ratio,108.26598461273726,5699.42465541729
Win Rate [%],60.0,
Profit Factor,3.41242627965334,
Total Trades,25,1
Avg Winning Trade [%],5.265811508771587,
Avg Losing Trade [%],-2.392404329612457,
Max Drawdown Duration,10 days 02:00:00,15 days 00:00:00
Expectancy,270.9455709701993,
Alpha [%],-208.24467095492867,0.0
