,rsi_adx_atr,Buy & Hold
Start,2020-01-02 05:00:00+00:00,2020-01-02 05:00:00+00:00
End,2026-02-11 05:00:00+00:00,2026-02-11 05:00:00+00:00
Total Return [%],31.48705131717976,154.56470844437524
Annualized Return [%],4.58,16.52
Max Drawdown [%],16.389896421498527,37.5564661050386
Sharpe Ratio,2.748208590668712,3.9104502604655487
Sortino Ratio,4.181738066911746,5.678912687222313
Calmar Ratio,22.967561665040044,546.4141643978679
Win Rate [%],52.17391304347826,
Profit Factor,1.6916096756595673,
Total Trades,24,1
Avg Winning Trade [%],5.447831876154416,
Avg Losing Trade [%],-3.1164271387347573,
Max Drawdown Duration,15 days 20:00:00,16 days 08:00:00
Expectancy,139.48629994914825,
Alpha [%],-123.07765712719548,0.0
