,rsi_adx_atr,Buy & Hold
Start,2020-01-02 05:00:00+00:00,2020-01-02 05:00:00+00:00
End,2026-02-11 05:00:00+00:00,2026-02-11 05:00:00+00:00
Total Return [%],18.545498689902487,3162.410964377543
Annualized Return [%],2.82,76.88
Max Drawdown [%],30.096652081158165,66.36205530533923
Sharpe Ratio,1.5825915898968428,7.926392921061483
Sortino Ratio,2.4979013987020093,12.23819363820861
Calmar Ratio,5.444504206556374,645625071.4347963
Win Rate [%],70.0,
Profit Factor,1.588028958617309,
Total Trades,10,1
Avg Winning Trade [%],7.347378505149605,
Avg Losing Trade [%],-9.77093133668412,
Max Drawdown Duration,38 days 14:00:00,15 days 13:00:00
Expectancy,185.4549868990248,
Alpha [%],-3143.8654656876406,0.0
