,rsi_adx_atr,Buy & Hold
Start,2020-01-02 05:00:00+00:00,2020-01-02 05:00:00+00:00
End,2026-02-11 05:00:00+00:00,2026-02-11 05:00:00+00:00
Total Return [%],101.45724077683116,1347.354761818253
Annualized Return [%],12.14,54.85
Max Drawdown [%],26.875096211717725,73.63221744219119
Sharpe Ratio,3.5522299242507938,5.851698546131411
Sortino Ratio,6.783916078032857,8.918688816621694
Calmar Ratio,198.32169205844923,5647240.459623361
Win Rate [%],75.0,
Profit Factor,2.848239513004512,
Total Trades,16,1
Avg Winning Trade [%],9.574260033421593,
Avg Losing Trade [%],-8.677930814464359,
Max Drawdown Duration,8 days 06:00:00,32 days 10:00:00
Expectancy,634.1077548551948,
Alpha [%],-1245.897521041422,0.0
